"Photon energy, eV",n,k
0.940979206,1.68,0
0.938556523,1.68,0
0.936146456,1.68,0
0.933748907,1.68,0
0.931363692,1.68,0
0.928990802,1.68,0
0.926630056,1.68,0
0.924281279,1.68,0
0.921944629,1.68,0
0.919619765,1.68,0
0.917306679,1.68,0
0.9150052,1.68,0
0.912715322,1.68,0
0.910436959,1.68,0
0.908169942,1.68,0
0.905914186,1.68,0
0.903669609,1.68,0
0.901436127,1.68,0
0.899213659,1.68,0
0.897002122,1.68,0
0.894801358,1.68,0
0.892611446,1.68,0
0.89043207,1.68,0
0.88826331,1.68,0
0.886104934,1.68,0
0.883957022,1.68,0
0.881819345,1.68,0
0.879691982,1.68,0
0.877574707,1.68,0
0.875467449,1.68,0
0.873370211,1.68,0
0.871282848,1.68,0
0.869205365,1.68,0
0.867137542,1.68,0
0.865079388,1.68,0
0.863030908,1.68,0
0.860991813,1.68,0
0.858962259,1.68,0
0.856942034,1.68,0
0.854931074,1.68,0
0.852929315,1.68,0
0.850936765,1.68,0
0.84895322,1.68,0
0.846978759,1.68,0
0.84501318,1.68,0
0.843056422,1.68,0
0.841108567,1.68,0
0.839169415,1.68,0
0.837238907,1.68,0
0.835316987,1.68,0
0.833403596,1.68,0
0.831498679,1.68,0
0.829602111,1.68,0
0.827713906,1.68,0
0.825834007,1.68,0
